id	filename	md5	size	state
943214bd-9f63-444f-9c1d-e394a678709d	943214bd-9f63-444f-9c1d-e394a678709d/ce797402-bbd4-4ad0-8b02-b44d6b30f70e.rna_seq.augmented_star_gene_counts.tsv	434883df2008eac2559bb00de44c10c9	4270866	validated
2d6d90fc-20cb-4a34-861f-1706b456d898	2d6d90fc-20cb-4a34-861f-1706b456d898/fa8ad93c-f08b-4227-9be1-419b5353b160.rna_seq.augmented_star_gene_counts.tsv	b9cfc2c88e28566f6cf60cc3b031ad6b	4268903	validated
d328da0b-4e18-4022-8656-2e668f6c639b	d328da0b-4e18-4022-8656-2e668f6c639b/a883c598-9431-4b75-aed7-f2c8967bd020.rna_seq.augmented_star_gene_counts.tsv	2ce8b55223ec3d6494f3992716bd0552	4262890	validated
05895ee3-d5d4-49ca-a18d-cb472f5fe980	05895ee3-d5d4-49ca-a18d-cb472f5fe980/84e6a0b4-7a1f-4a9a-80b7-b59c6d2132c2.rna_seq.augmented_star_gene_counts.tsv	43065a6ce4e5ff9031155c0ddb663977	4260773	validated
c858708c-538d-4da5-afda-6b436498ea99	c858708c-538d-4da5-afda-6b436498ea99/6b5cd598-f52f-48bc-8256-74a2e98ec04b.rna_seq.augmented_star_gene_counts.tsv	58cddc1a7f0d6e40d98e3fad46d40f29	4264912	validated
7cec3094-cc88-4107-b864-84a23bde14b4	7cec3094-cc88-4107-b864-84a23bde14b4/06bfef84-bc96-4d26-a658-3da2432dd948.rna_seq.augmented_star_gene_counts.tsv	83790b27ebc172060f140f4cc9b3a659	4220704	validated
3636d46e-0af8-4fa2-8ddd-459222ca9743	3636d46e-0af8-4fa2-8ddd-459222ca9743/c1727ac9-43ce-4f5f-b785-7d9f85f944bb.rna_seq.augmented_star_gene_counts.tsv	0d8be3f11fc6fd4507eea72a5d8269ea	4262975	validated
5dc950d7-010c-4008-8368-f5acc4f61a58	5dc950d7-010c-4008-8368-f5acc4f61a58/62c68df4-4b67-4c05-9cf4-f0f2e878b59e.rna_seq.augmented_star_gene_counts.tsv	25c3f5e436f24ac5d0fab5b2ff6ae129	4267199	validated
7311e116-4104-4637-8c46-6689c6d55cfb	7311e116-4104-4637-8c46-6689c6d55cfb/4d8ce68c-cba9-44e2-be95-477c938fdd73.rna_seq.augmented_star_gene_counts.tsv	99e2b545c9887743b575924ba10e929d	4255201	validated
04bffc02-6021-44e8-98af-11694675f8a2	04bffc02-6021-44e8-98af-11694675f8a2/98990aa6-30f1-4a05-aecb-a13b907c2f57.rna_seq.augmented_star_gene_counts.tsv	fdce9b59ddff29af018de91660483370	4263289	validated
c019423c-0240-4242-9f99-64e4c4a79abd	c019423c-0240-4242-9f99-64e4c4a79abd/61eb62f8-cb54-47af-86e6-b256f6ebebfe.rna_seq.augmented_star_gene_counts.tsv	73585b0c199d71070c8123757133ee32	4237659	validated
352408eb-1af9-434b-8904-c3bde5acf795	352408eb-1af9-434b-8904-c3bde5acf795/59b900d7-691a-423c-a590-cc9e1f0735dc.rna_seq.augmented_star_gene_counts.tsv	6f9e76d9a54bc58a1e06752a82a0cd8d	4249239	validated
61662efc-a675-44b4-89dc-42315385670c	61662efc-a675-44b4-89dc-42315385670c/b6984d71-6903-423e-a1b0-e98ccc3be29f.rna_seq.augmented_star_gene_counts.tsv	58bf272c6967f438b1aab5d78195aff1	4255833	validated
